question_id,question_text,description,difficulty,expected_output_type,script_path
Q079,Which spaces have an aspect ratio above two to one?,Lists spaces whose plan aspect ratio exceeds two to one.,medium,list,scripts/079_spaces_high_aspect_ratio.py
Q080,What is the total area dedicated to corridors and halls?,Sums area of spaces classified as corridors or halls.,medium,float,scripts/080_corridor_area_total.py
Q081,What is the total area of bathrooms and restrooms?,Sums area of spaces tagged as bathrooms or restrooms.,medium,float,scripts/081_bathroom_area_total.py
Q082,How much area belongs to each inferred usage category?,Reports total area per inferred usage category.,medium,dict,scripts/082_space_area_by_usage.py
Q083,Which storey has the greatest circulation area?,Identifies storey with the largest circulation area.,medium,string,scripts/083_storey_largest_circulation_area.py
Q084,Which spaces are taller than four metres?,Lists spaces with height greater than four metres.,medium,list,scripts/084_spaces_over_4m_height.py
Q085,What is the total volume of spaces that have windows?,Sums volume of spaces containing windows.,medium,float,scripts/085_volume_of_lit_spaces.py
Q086,How do storeys rank by total enclosed volume?,Ranks storeys by total enclosed volume.,medium,list,scripts/086_storey_volume_ranking.py
Q087,What are the height differences between successive storeys?,Lists height differences between consecutive storeys.,medium,list,scripts/087_storey_height_differences.py
Q088,What is the average storey to storey height?,Calculates average vertical spacing between storeys.,medium,float,scripts/088_average_storey_height.py
Q089,How many storeys sit at or above ground level?,Counts storeys at or above the ground plane.,easy,integer,scripts/089_storeys_above_ground.py
Q090,How many storeys are below ground level?,Counts storeys located below the ground plane.,easy,integer,scripts/090_storeys_below_ground.py
Q091,Which storey has the most exterior wall area?,Identifies storey with greatest exterior wall area.,medium,string,scripts/091_storey_largest_external_wall_area.py
Q092,Which storey has the highest door density?,Finds storey with most doors relative to area.,hard,string,scripts/092_storey_highest_door_density.py
Q093,Which storey hosts the most columns?,Identifies storey containing the highest number of columns.,medium,string,scripts/093_storey_most_columns.py
Q094,How many columns are on each storey?,Counts columns grouped by storey.,medium,dict,scripts/094_column_count_by_storey.py
Q095,Which storey has the most windows?,Identifies storey with the highest window count.,medium,string,scripts/095_storey_most_windows.py
Q096,How many beams are in the building?,Counts all beam elements in the model.,easy,integer,scripts/096_count_beams.py
Q097,What is the total beam length?,Sums linear length of all beam elements.,medium,float,scripts/097_total_beam_length.py
Q098,What is the total column height sum?,Sums heights of all column elements.,medium,float,scripts/098_total_column_height.py
Q099,How many stairs and flights are present?,Counts stair assemblies and their flights.,medium,dict,scripts/099_count_stairs.py
Q100,How many stairs ramps and elevators are there?,Counts vertical circulation elements grouped by type.,medium,dict,scripts/100_vertical_circulation_counts.py
Q101,How many ramps including flights are in the model?,Counts ramp systems and their flights in the model.,easy,integer,scripts/101_count_ramps.py
Q102,What is the total ramp length?,Sums the run length of all ramps.,medium,float,scripts/102_total_ramp_length.py
Q103,How many elevators are present?,Counts elevator elements in the model.,easy,integer,scripts/103_count_elevators.py
Q104,What is the total roof area?,Calculates combined area of roof elements.,medium,float,scripts/104_total_roof_area.py
Q105,What is the total slab area per storey?,Sums slab area for each storey.,medium,dict,scripts/105_slab_area_by_storey.py
Q106,How many flow terminals such as diffusers or grilles exist?,Counts ventilation flow terminal elements including diffusers and grilles.,medium,integer,scripts/106_count_flow_terminals.py
Q107,How many light fixtures are in the model?,Counts light fixture elements in the model.,easy,integer,scripts/107_count_light_fixtures.py
Q108,How many furniture elements are present?,Counts furniture elements in the model.,easy,integer,scripts/108_count_furniture.py
Q109,Which furniture types appear most frequently?,Lists the most common furniture categories.,medium,list,scripts/109_top_furniture_types.py
Q110,What is the total railing length?,Sums length of all railing elements.,medium,float,scripts/110_total_railing_length.py
